"data","age","new_cases","total_cases","male","female","incidence"
2023-06-30,"0_9","1",1,1,0,"0.21"
2023-06-30,"10_19","0",0,0,0,"0"
2023-06-30,"20_29","0",0,0,0,"0"
2023-06-30,"30_39","0",0,0,0,"0"
2023-06-30,"40_49","2",2,0,2,"0.24"
2023-06-30,"50_59","0",0,0,0,"0"
2023-06-30,"60+","1",1,1,0,"0.06"
2023-09-11,"0_9","0",1,1,0,"0.21"
2023-09-11,"10_19","0",0,0,0,"0"
2023-09-11,"20_29","0",0,0,0,"0"
2023-09-11,"30_39","0",0,0,0,"0"
2023-09-11,"40_49","NA",1,0,1,"0.12"
2023-09-11,"50_59","0",0,0,0,"0"
2023-09-11,"60+","0",1,1,0,"0.06"
2023-10-09,"0_9","0",1,1,0,"0.21"
2023-10-09,"10_19","0",0,0,0,"0"
2023-10-09,"20_29","1",1,0,0,"0.17"
2023-10-09,"30_39","0",0,0,0,"0"
2023-10-09,"40_49","0",1,0,1,"0.12"
2023-10-09,"50_59","0",0,0,0,"0"
2023-10-09,"60+","0",1,1,0,"0.06"
