"year","month","cases","autochthonous","imported"
2015,"January",3,0,3
2015,"February",2,0,2
2015,"March",2,0,2
2015,"April",0,0,0
2015,"May",1,0,1
2015,"June",2,0,2
2015,"July",1,0,1
2015,"August",5,0,5
2015,"September",0,0,0
2015,"October",1,0,1
2015,"November",0,0,0
2015,"December",0,0,0
2016,"January",2,0,2
2016,"February",3,0,3
2016,"March",2,0,2
2016,"April",0,0,0
2016,"May",0,0,0
2016,"June",1,0,1
2016,"July",1,0,1
2016,"August",2,0,2
2016,"September",3,0,3
2016,"October",3,0,3
2016,"November",0,0,0
2016,"December",0,0,0
2017,"January",0,0,0
2017,"February",0,0,0
2017,"March",0,0,0
2017,"April",2,0,2
2017,"May",1,0,1
2017,"June",1,0,1
2017,"July",3,0,3
2017,"August",0,0,0
2017,"September",1,0,1
2017,"October",0,0,0
2017,"November",0,0,0
2017,"December",0,0,0
2018,"January",0,0,0
2018,"February",0,0,0
2018,"March",0,0,0
2018,"April",1,0,1
2018,"May",1,0,1
2018,"June",0,0,0
2018,"July",0,0,0
2018,"August",1,0,1
2018,"September",1,0,1
2018,"October",0,0,0
2018,"November",0,0,0
2018,"December",1,0,1
2019,"January",2,0,2
2019,"February",3,0,3
2019,"March",0,0,0
2019,"April",2,0,2
2019,"May",4,0,4
2019,"June",0,0,0
2019,"July",0,0,0
2019,"August",3,0,3
2019,"September",1,0,1
2019,"October",1,0,1
2019,"November",2,0,2
2019,"December",0,0,0
2020,"January",3,0,3
2020,"February",1,0,1
2020,"March",0,0,0
2020,"April",0,0,0
2020,"May",1,0,1
2020,"June",0,0,0
2020,"July",0,0,0
2020,"August",0,0,0
2020,"September",0,0,0
2020,"October",0,0,0
2020,"November",0,0,0
2020,"December",0,0,0
2021,"January",0,0,0
2021,"February",0,0,0
2021,"March",0,0,0
2021,"April",0,0,0
2021,"May",0,0,0
2021,"June",0,0,0
2021,"July",0,0,0
2021,"August",0,0,0
2021,"September",0,0,0
2021,"October",0,0,0
2021,"November",0,0,0
2021,"December",0,0,0
2022,"January",0,0,0
2022,"February",0,0,0
2022,"March",0,0,0
2022,"April",0,0,0
2022,"May",0,0,0
2022,"June",0,0,0
2022,"July",0,0,0
2022,"August",0,0,0
2022,"September",0,0,0
2022,"October",0,0,0
2022,"November",0,0,0
2022,"December",0,0,0
2023,"January",0,0,0
2023,"February",0,0,0
2023,"March",1,0,1
2023,"April",2,0,2
2023,"May",0,0,0
2023,"June",0,0,0
2023,"July",0,0,0
2023,"August",0,0,0
2023,"September",1,0,1
2023,"October",0,0,0
2023,"November",0,0,0
2023,"December",0,0,0
