"data""","code_region","name_region","lat","long","new_cases","total_cases","autochthonous_cases","imported_cases"
2025-05-31,13,"Abruzzo",42.35122196,13.39843823,1,1,0,1
2025-05-31,17,"Basilicata",40.63947052,15.80514834,0,0,0,0
2025-05-31,18,"Calabria",38.90597598,16.59440194,1,1,0,1
2025-05-31,15,"Campania",40.83956555,14.25084984,1,1,0,1
2025-05-31,8,"Emilia-Romagna",44.49436681,11.3417208,6,6,0,6
2025-05-31,6,"Friuli-Venezia Giulia",45.6494354,13.76813649,0,0,0,0
2025-05-31,12,"Lazio",41.89277044,12.48366722,8,8,0,8
2025-05-31,7,"Liguria",44.41149315,8.9326992,1,1,0,1
2025-05-31,3,"Lombardy",45.46679409,9.190347404,16,16,0,16
2025-05-31,11,"Marche",43.61675973,13.5188753,2,2,0,2
2025-05-31,14,"Molise",41.55774754,14.65916051,0,0,0,0
2025-05-31,21,"Bolzano",46.49933453,11.35662422,1,1,0,1
2025-05-31,22,"Trento",46.06893511,11.12123097,0,0,0,0
2025-05-31,1,"Piedmont",45.0732745,7.680687483,5,5,0,5
2025-05-31,16,"Apulia",41.12559576,16.86736689,1,1,0,1
2025-05-31,20,"Sardinia",39.21531192,9.110616306,0,0,0,0
2025-05-31,19,"Sicily",38.11569725,13.3623566999999,0,0,0,0
2025-05-31,9,"Tuscany",43.76923077,11.25588885,10,10,0,10
2025-05-31,10,"Umbria",43.10675841,12.38824698,1,1,0,1
2025-05-31,2,"Aosta Valley",45.73750286,7.320149366,0,0,0,0
2025-05-31,5,"Veneto",45.43490485,12.33845213,6,6,0,6
